ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   31.043   31.043 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tkinter/__init__.py:1418(mainloop)
        1    3.223    3.223   31.043   31.043 {method 'mainloop' of '_tkinter.tkapp' objects}
 4575/815    0.007    0.000   27.820    0.034 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tkinter/__init__.py:1878(__call__)
  541/107    0.008    0.000   27.549    0.257 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backends/backend_tkagg.py:8(draw)
 1038/620    0.003    0.000   27.054    0.044 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tkinter/__init__.py:802(callit)
  525/107    0.002    0.000   27.020    0.253 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backends/_backend_tk.py:251(idle_draw)
2658/1692    2.863    0.001   22.652    0.013 {method 'call' of '_tkinter.tkapp' objects}
  572/134    0.002    0.000   22.439    0.167 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/tkinter/__init__.py:1307(update_idletasks)
  541/531    0.008    0.000   20.109    0.038 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backends/backend_agg.py:400(draw)
50459/541    0.115    0.000   19.609    0.036 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/artist.py:33(draw_wrapper)
      541    0.012    0.000   19.606    0.036 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/figure.py:1819(draw)
 1146/541    0.006    0.000   19.196    0.035 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/image.py:114(_draw_list_compositing_images)
 3255/605    0.012    0.000   19.190    0.032 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/cbook/deprecation.py:384(wrapper)
      605    0.010    0.000   19.173    0.032 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axes/_base.py:2666(draw)
     1210    0.026    0.000   16.977    0.014 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/axis.py:1156(draw)
    21235    0.302    0.000    7.350    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/text.py:266(_get_layout)
    14487    0.127    0.000    6.958    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/text.py:861(get_window_extent)
    23132    0.062    0.000    6.949    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/backends/backend_agg.py:268(_get_agg_font)
    16777    0.208    0.000    6.365    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/matplotlib/text.py:665(draw)
    46264    0.064    0.000    6.231    0.000 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/posixpath.py:387(realpath)
